##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR2584866_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2768398
Total Bases	415.2 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.7280271839526	34.0	31.0	34.0	31.0	34.0
2	32.954983712602015	34.0	31.0	34.0	31.0	34.0
3	33.07750655794434	34.0	33.0	34.0	31.0	34.0
4	36.551005310652585	37.0	37.0	37.0	35.0	37.0
5	36.519493223156495	37.0	37.0	37.0	35.0	37.0
6	36.53257985304136	37.0	37.0	37.0	35.0	37.0
7	36.5061309826116	37.0	37.0	37.0	35.0	37.0
8	36.49863097719331	37.0	37.0	37.0	35.0	37.0
9	38.33257862489425	39.0	39.0	39.0	37.0	39.0
10-14	38.61199538505663	39.4	39.2	39.4	37.2	39.4
15-19	39.84260731296584	41.0	40.0	41.0	38.0	41.0
20-24	39.722821718553476	41.0	40.0	41.0	37.8	41.0
25-29	39.496094130973944	41.0	39.6	41.0	37.0	41.0
30-34	39.29837046551832	41.0	39.0	41.0	36.2	41.0
35-39	39.046387694254946	40.4	38.8	41.0	35.4	41.0
40-44	38.619069151184185	40.0	37.8	41.0	35.0	41.0
45-49	37.898060466739246	39.6	36.6	41.0	34.0	41.0
50-54	37.09971246908862	38.2	35.0	40.6	33.2	41.0
55-59	36.14957358009939	36.4	35.0	39.4	33.0	41.0
60-64	35.196921251929815	35.0	35.0	37.6	32.4	40.0
65-69	34.419474873193806	35.0	34.8	36.0	31.6	38.4
70-74	33.86133836247534	35.0	34.0	35.0	31.0	36.6
75-79	33.441148129712566	35.0	34.0	35.0	30.6	35.8
80-84	33.14200472619905	35.0	34.0	35.0	30.0	35.0
85-89	32.88646748047065	35.0	33.4	35.0	29.4	35.0
90-94	32.635733156865456	35.0	33.0	35.0	29.0	35.0
95-99	32.42565974979031	35.0	33.0	35.0	29.0	35.0
100-104	31.63950385746558	34.2	31.8	34.8	26.4	35.0
105-109	32.32021320633811	35.0	33.0	35.0	29.0	35.0
110-114	32.056694015817094	35.0	33.0	35.0	27.4	35.0
115-119	31.579117164511747	35.0	33.0	35.0	25.4	35.0
120-124	31.06695085027514	35.0	32.8	35.0	23.4	35.0
125-129	30.511709443512096	34.2	32.0	35.0	18.8	35.0
130-134	29.887418933260317	34.0	31.0	35.0	7.2	35.0
135-139	29.252932417954355	34.0	30.6	35.0	2.0	35.0
140-144	28.51207926027977	34.0	29.4	35.0	2.0	35.0
145-149	27.622708078823926	33.4	28.6	35.0	2.0	35.0
150	27.117713204532006	33.0	27.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.0697810116757438
1101	2	0.0824966514384684
1101	3	0.040551004377064714
1101	4	0.025510674300342373
1101	5	-0.07052680326523131
1101	6	-0.019309939065330184
1101	7	-0.007389064633279929
1101	8	-0.02556208335312249
1101	9	-0.06955815901908124
1101	10-14	-0.0241870096024428
1101	15-19	-0.0750955159241471
1101	20-24	-0.11132701721839311
1101	25-29	-0.21973161130738816
1101	30-34	-0.2956090157166571
1101	35-39	-0.49894717392056265
1101	40-44	-0.7397841984312308
1101	45-49	-0.9726375380999599
1101	50-54	-0.6815539466378766
1101	55-59	-0.3846440951598069
1101	60-64	-0.47053392270592553
1101	65-69	-0.5985063440281451
1101	70-74	-0.783830206043092
1101	75-79	-1.0369250279661628
1101	80-84	-1.3081684991863156
1101	85-89	-1.5767275069584166
1101	90-94	-1.8392085612472044
1101	95-99	-2.132333840560719
1101	100-104	-2.4842159228785157
1101	105-109	-2.4919510947613723
1101	110-114	-2.7634707074382447
1101	115-119	-3.0183475392010948
1101	120-124	-3.3000688130450513
1101	125-129	-3.4543191091429044
1101	130-134	-3.6655426844519994
1101	135-139	-3.8470350477496815
1101	140-144	-3.9371612885989933
1101	145-149	-3.9440099046440587
1101	150	-3.8988044880089845
1102	1	0.2854074934206494
1102	2	0.20287928736386363
1102	3	0.18181550078136155
1102	4	0.08785817805409835
1102	5	0.03216577418064048
1102	6	0.06154604026927046
1102	7	0.01965821290742298
1102	8	0.059900640884272605
1102	9	0.04883572828928351
1102	10-14	0.05475304887708887
1102	15-19	2.7205559473486574E-4
1102	20-24	0.0031231319439370964
1102	25-29	-0.008268462303121282
1102	30-34	-0.0435427471454517
1102	35-39	-0.13075033398851588
1102	40-44	-0.0852291911212788
1102	45-49	-0.18412923538934933
1102	50-54	-0.05814217960769241
1102	55-59	-0.06183542300079381
1102	60-64	-0.15594977441288904
1102	65-69	-0.15621440570824774
1102	70-74	-0.29068577048910527
1102	75-79	-0.34421044660848565
1102	80-84	-0.4779973329542955
1102	85-89	-0.6675923767624212
1102	90-94	-0.7679494238203048
1102	95-99	-0.8901669368148717
1102	100-104	-1.0449328157582372
1102	105-109	-1.1204698437735416
1102	110-114	-1.2161276983106966
1102	115-119	-1.2702113273313316
1102	120-124	-1.5076546554664247
1102	125-129	-1.60273124660932
1102	130-134	-1.8566029223214464
1102	135-139	-1.9911752899655824
1102	140-144	-2.0544410766106935
1102	145-149	-1.995008872361776
1102	150	-1.9920310616220718
1103	1	0.24228849050032863
1103	2	0.17740147655869265
1103	3	0.1580836875773599
1103	4	0.06520518733653091
1103	5	0.03254319908676706
1103	6	0.029366818846661147
1103	7	0.018861644279972722
1103	8	0.04824055796812843
1103	9	0.04334579295344554
1103	10-14	0.04254143018705747
1103	15-19	0.01559250824388414
1103	20-24	-0.03924108634976875
1103	25-29	-0.03033804146456731
1103	30-34	-0.09904382922722021
1103	35-39	-0.14597581114747982
1103	40-44	-0.22690830824685548
1103	45-49	-0.19998753482614262
1103	50-54	-0.12516293471824014
1103	55-59	-0.14279293499495793
1103	60-64	-0.1564975294191413
1103	65-69	-0.2288185071892741
1103	70-74	-0.32325701840316867
1103	75-79	-0.44254866886547006
1103	80-84	-0.5922078695625572
1103	85-89	-0.8131900639756111
1103	90-94	-0.9390141662066185
1103	95-99	-1.0664414466187928
1103	100-104	-1.2721778746860615
1103	105-109	-1.2787262580413739
1103	110-114	-1.3785438043807794
1103	115-119	-1.4502513513196433
1103	120-124	-1.6861728552995459
1103	125-129	-1.6761482131299665
1103	130-134	-1.737162215187528
1103	135-139	-1.7966035596777274
1103	140-144	-1.7781034019131532
1103	145-149	-1.7177726786821772
1103	150	-1.6579927454977508
1104	1	0.23228611931158127
1104	2	0.18470399107678048
1104	3	0.1229101831533157
1104	4	0.04314641048406287
1104	5	0.01043917671668737
1104	6	0.021347470942238544
1104	7	-0.01950089118672338
1104	8	0.036115443843002026
1104	9	-0.04196435044435276
1104	10-14	-0.08942004079636945
1104	15-19	-0.05678486053322729
1104	20-24	-0.10153543862626435
1104	25-29	-0.1619322955950082
1104	30-34	-0.20238088219435468
1104	35-39	-0.3153330198413329
1104	40-44	-0.3602290616251764
1104	45-49	-0.4763638978707121
1104	50-54	-0.4270007491419179
1104	55-59	-0.3594892902724709
1104	60-64	-0.4427216696142793
1104	65-69	-0.5469901650734101
1104	70-74	-0.6300785114554657
1104	75-79	-0.7026081913043214
1104	80-84	-0.7476249280562399
1104	85-89	-0.9384623056949692
1104	90-94	-1.0657002836744418
1104	95-99	-1.2365136963043426
1104	100-104	-1.459214604462037
1104	105-109	-1.4693283097108853
1104	110-114	-1.5320512904290453
1104	115-119	-1.5812969708751687
1104	120-124	-1.677358057588087
1104	125-129	-1.6763716152070316
1104	130-134	-1.837037718442776
1104	135-139	-1.8168570092594685
1104	140-144	-1.8322502874096287
1104	145-149	-2.0009121076924536
1104	150	-1.9288785307502003
1105	1	0.20554369587068066
1105	2	0.17547861844059298
1105	3	0.09358260668078344
1105	4	0.028377903231401547
1105	5	0.002605208416611049
1105	6	-0.05033792572041307
1105	7	-0.011517238414306519
1105	8	-0.03423469518922673
1105	9	-0.008596976417358348
1105	10-14	-0.04829256685469829
1105	15-19	-0.006188695533566602
1105	20-24	-0.07465239594130679
1105	25-29	-0.06882364847332667
1105	30-34	-0.11720459837046349
1105	35-39	-0.16051671454945904
1105	40-44	-0.264517251243781
1105	45-49	-0.35183928132745734
1105	50-54	-0.27317522280562656
1105	55-59	-0.2251908187132443
1105	60-64	-0.2867654779912243
1105	65-69	-0.3717010876876117
1105	70-74	-0.43640697858066346
1105	75-79	-0.4494982649514867
1105	80-84	-0.6488462812134799
1105	85-89	-0.7952852966528283
1105	90-94	-0.9671783487074777
1105	95-99	-1.1380844094131959
1105	100-104	-1.211859294642828
1105	105-109	-1.252008770272571
1105	110-114	-1.338009045022492
1105	115-119	-1.3736254553132738
1105	120-124	-1.4618902292897609
1105	125-129	-1.5945189037659873
1105	130-134	-1.704341075126088
1105	135-139	-1.8271212522479843
1105	140-144	-1.8466828762560787
1105	145-149	-1.8840196919942684
1105	150	-1.8670950324473452
1106	1	0.2486231574613882
1106	2	0.19719687012029397
1106	3	0.161551677374824
1106	4	0.0649332432048908
1106	5	0.004833400702480617
1106	6	-0.006584840708690365
1106	7	-4.04500946324049E-4
1106	8	-0.01385185822052648
1106	9	-0.018887525072699418
1106	10-14	0.0035511908361911537
1106	15-19	0.023415954297689723
1106	20-24	-0.007889925567809541
1106	25-29	-0.01889170919975669
1106	30-34	-0.039782763159614376
1106	35-39	-0.15350886078489623
1106	40-44	-0.18145697271195615
1106	45-49	-0.2623751995216068
1106	50-54	-0.17152057142753563
1106	55-59	-0.1550864350760719
1106	60-64	-0.2542627294737585
1106	65-69	-0.3043847004285496
1106	70-74	-0.39060618456964136
1106	75-79	-0.45626822939276224
1106	80-84	-0.5529848374303015
1106	85-89	-0.6870459431466074
1106	90-94	-0.7891642374194134
1106	95-99	-0.8167516427908375
1106	100-104	-1.0907766304116926
1106	105-109	-0.9701763668100618
1106	110-114	-1.125335482089639
1106	115-119	-1.1172637513386476
1106	120-124	-1.1549057396551703
1106	125-129	-1.3713969111473894
1106	130-134	-1.4454834725721035
1106	135-139	-1.4835819651864028
1106	140-144	-1.4264547458436034
1106	145-149	-1.4464733850736415
1106	150	-1.472378835056464
1107	1	0.23054312964234924
1107	2	0.16968134630219822
1107	3	0.14312441471579262
1107	4	0.05248847176994076
1107	5	0.015497887763778806
1107	6	-0.004207643376318515
1107	7	0.036288287068231284
1107	8	0.031283471680524144
1107	9	0.007034889101149133
1107	10-14	0.012054961445400636
1107	15-19	0.00755201265953076
1107	20-24	-0.024654117275431986
1107	25-29	-0.046044735722325925
1107	30-34	-0.09464576724693075
1107	35-39	-0.14537160155293094
1107	40-44	-0.2001290496302559
1107	45-49	-0.26090067859778543
1107	50-54	-0.21068218741408629
1107	55-59	-0.13444532249337726
1107	60-64	-0.1583989108297459
1107	65-69	-0.20554122557554422
1107	70-74	-0.21689490885757579
1107	75-79	-0.30286469621816536
1107	80-84	-0.37941090145547207
1107	85-89	-0.4086273348030218
1107	90-94	-0.5505067520794782
1107	95-99	-0.6544838767055765
1107	100-104	-0.7329964623234204
1107	105-109	-0.6458665065370042
1107	110-114	-0.6963263956174899
1107	115-119	-0.7929940654265657
1107	120-124	-0.9920189216647053
1107	125-129	-1.0112518115976066
1107	130-134	-1.0973157443354928
1107	135-139	-1.2085311154925122
1107	140-144	-1.3282860951508937
1107	145-149	-1.3790578331346062
1107	150	-1.4851522803964663
1108	1	0.19795809485484028
1108	2	0.1625763293486031
1108	3	0.11862677911816633
1108	4	0.03903773362893048
1108	5	0.009402719010616067
1108	6	0.013103660845260379
1108	7	-0.014829556003057576
1108	8	-0.0066736781650007515
1108	9	-0.02440984769961574
1108	10-14	0.006127383829664268
1108	15-19	-0.015930379057124355
1108	20-24	-0.047735755113670564
1108	25-29	-0.08385236670978458
1108	30-34	-0.10456377565574115
1108	35-39	-0.18179232595012706
1108	40-44	-0.2174487507442393
1108	45-49	-0.24129732612495758
1108	50-54	-0.18386765959843387
1108	55-59	-0.09048100332696407
1108	60-64	-0.09863703586326977
1108	65-69	-0.17232774569205844
1108	70-74	-0.19500608479630444
1108	75-79	-0.2276694522180236
1108	80-84	-0.2541082151541616
1108	85-89	-0.2811876448054491
1108	90-94	-0.390706262242702
1108	95-99	-0.4244972629772583
1108	100-104	-0.42658065146261137
1108	105-109	-0.30335658330627524
1108	110-114	-0.3608463181927206
1108	115-119	-0.4066591789390053
1108	120-124	-0.5417170831786606
1108	125-129	-0.6700200579093369
1108	130-134	-0.5656520490852657
1108	135-139	-0.7270828628316508
1108	140-144	-0.7186491280217524
1108	145-149	-0.9009827692505112
1108	150	-1.0180638730377538
1109	1	0.24410220662036863
1109	2	0.18027900805034136
1109	3	0.10743081839251545
1109	4	0.06168783279954937
1109	5	-0.012140333283078064
1109	6	-0.020270325487466323
1109	7	-0.05097859312805042
1109	8	-0.051791473547886824
1109	9	-0.07313717541953935
1109	10-14	-0.050121691966033666
1109	15-19	-0.07176246986022505
1109	20-24	-0.06787221043109781
1109	25-29	-0.03471272197830899
1109	30-34	-0.06556701430739764
1109	35-39	-0.12006885938589562
1109	40-44	-0.10862151863798886
1109	45-49	-0.09760852443564971
1109	50-54	-0.13991567649780023
1109	55-59	-0.05017771884277522
1109	60-64	-0.042176270323970755
1109	65-69	-0.04042444515768295
1109	70-74	-0.06792305020577061
1109	75-79	-0.05759514339493421
1109	80-84	-0.06510661796927053
1109	85-89	-0.06795091310198131
1109	90-94	-0.022808831214916836
1109	95-99	-0.05588220979344527
1109	100-104	-0.17858753961218454
1109	105-109	-0.028310347113780665
1109	110-114	-0.00891280686863638
1109	115-119	0.07419124408079014
1109	120-124	-0.032778618838918305
1109	125-129	-0.14778462572703077
1109	130-134	-0.2124968695686249
1109	135-139	-0.335611839723704
1109	140-144	-0.42501233755286805
1109	145-149	-0.632540799049174
1109	150	-0.642694251267315
1110	1	0.2380977254249501
1110	2	0.1745805962291982
1110	3	0.08447110259053403
1110	4	0.05206153952371295
1110	5	0.008605117923437433
1110	6	-0.013810164597444441
1110	7	-0.0470792746089046
1110	8	-0.01885904596753818
1110	9	-0.07463142043930304
1110	10-14	-0.05908011160535409
1110	15-19	-0.12703987303705588
1110	20-24	-0.05415553489558533
1110	25-29	-0.05206005454787288
1110	30-34	-0.08182224462950671
1110	35-39	-0.1070149182821396
1110	40-44	-0.14683462776182665
1110	45-49	-0.18380776874957405
1110	50-54	-0.0913997466354175
1110	55-59	-0.0382402805908697
1110	60-64	-0.03496211164497254
1110	65-69	0.011927147164918495
1110	70-74	0.02665634703028985
1110	75-79	-0.0053821715643138646
1110	80-84	0.00798103907842318
1110	85-89	0.04336448493765488
1110	90-94	0.026459546180461757
1110	95-99	0.035216023928768436
1110	100-104	0.044057867098793224
1110	105-109	0.21006959503724687
1110	110-114	0.15717234922329482
1110	115-119	0.20086363713821598
1110	120-124	0.17408571289802666
1110	125-129	0.17432175379400405
1110	130-134	-0.04719738533135853
1110	135-139	-0.044785208725663495
1110	140-144	-0.024223416531562236
1110	145-149	-0.11498874243552493
1110	150	-0.4249462518540774
1111	1	0.21931718752771445
1111	2	0.1583680694151468
1111	3	0.1200637154687243
1111	4	0.03275070785616663
1111	5	-0.0025276300028949095
1111	6	-0.0027508698746814275
1111	7	-0.04136433545065188
1111	8	-0.04052846674056099
1111	9	-0.045272739996818245
1111	10-14	-0.048748413111226796
1111	15-19	-0.061111491413811336
1111	20-24	-0.10415749952255737
1111	25-29	-0.0699401194106315
1111	30-34	-0.15571527582291367
1111	35-39	-0.1479715018922505
1111	40-44	-0.07959526455808685
1111	45-49	-0.07399800788147815
1111	50-54	-0.08766815801525496
1111	55-59	-0.06235014128689187
1111	60-64	-0.015830636423679323
1111	65-69	0.03772178693682804
1111	70-74	0.020482203532473875
1111	75-79	0.08984425143469821
1111	80-84	0.06132488083338217
1111	85-89	0.09492146995372508
1111	90-94	0.06609958090304247
